PAR,time,acc,Rep,lw,gs,Induction
1500,0,rice1,1,0.9,0.15816,0.158161
1500,10,rice1,1,0.9,0.14895,0.148947
1500,20,rice1,1,0.9,0.15688,0.156876
1500,30,rice1,1,0.9,0.15644,0.156436
1500,40,rice1,1,0.9,0.15169,0.151695
1500,50,rice1,1,0.9,0.15241,0.152405
1500,60,rice1,1,0.9,0.16463,0.164632
1500,70,rice1,1,0.9,0.21171,0.21171
1500,80,rice1,1,0.9,0.25518,0.255175
1500,90,rice1,1,0.9,0.30022,0.300222
1500,100,rice1,1,0.9,0.34628,0.346285
1500,110,rice1,1,0.9,0.39411,0.394107
1500,120,rice1,1,0.9,0.43183,0.431831
1500,130,rice1,1,0.9,0.47745,0.47745
1500,140,rice1,1,0.9,0.5144,0.514403
1500,150,rice1,1,0.9,0.53283,0.532826
1500,160,rice1,1,0.9,0.54709,0.547086
1500,170,rice1,1,0.9,0.55938,0.559383
1500,180,rice1,1,0.9,0.56755,0.567551
1500,190,rice1,1,0.9,0.56456,0.564555
1500,200,rice1,1,0.9,0.58855,0.588548
1500,210,rice1,1,0.9,0.59714,0.597137
1500,220,rice1,1,0.9,0.60377,0.603772
1500,230,rice1,1,0.9,0.61597,0.615971
1500,240,rice1,1,0.9,0.62436,0.624359
1500,250,rice1,1,0.9,0.61919,0.619193
1500,260,rice1,1,0.9,0.63953,0.639528
1500,270,rice1,1,0.9,0.64892,0.648925
1500,280,rice1,1,0.9,0.65274,0.652738
1500,290,rice1,1,0.9,0.65892,0.658924
1500,300,rice1,1,0.9,0.65818,0.658182
1500,310,rice1,1,0.9,0.64003,0.640032
1500,320,rice1,1,0.9,0.65026,0.650257
1500,330,rice1,1,0.9,0.65414,0.654142
1500,340,rice1,1,0.9,0.65452,0.654524
1500,350,rice1,1,0.9,0.65323,0.65323
1500,360,rice1,1,0.9,0.65443,0.65443
1500,370,rice1,1,0.9,0.63039,0.63039
1500,380,rice1,1,0.9,0.64257,0.64257
1500,390,rice1,1,0.9,0.6443,0.6443
1500,400,rice1,1,0.9,0.64119,0.64119
1500,410,rice1,1,0.9,0.64306,0.64306
1500,420,rice1,1,0.9,0.63592,0.63592
1500,430,rice1,1,0.9,0.60879,NA
1500,440,rice1,1,0.9,0.61953,NA
1500,450,rice1,1,0.9,0.62271,NA
1500,460,rice1,1,0.9,0.62179,NA
1500,470,rice1,1,0.9,0.61952,NA
1500,480,rice1,1,0.9,0.61979,NA
1500,490,rice1,1,0.9,0.59572,NA
1500,500,rice1,1,0.9,0.6074,NA
1500,510,rice1,1,0.9,0.61202,NA
1500,520,rice1,1,0.9,0.61156,NA
1500,530,rice1,1,0.9,0.6115,NA
1500,540,rice1,1,0.9,0.61015,NA
1500,550,rice1,1,0.9,0.59126,NA
1500,560,rice1,1,0.9,0.60468,NA
1500,570,rice1,1,0.9,0.60885,NA
1500,580,rice1,1,0.9,0.61215,NA
1500,590,rice1,1,0.9,0.61421,NA
1500,600,rice1,1,0.9,0.61242,NA
1500,610,rice1,1,0.9,0.60121,NA
1500,620,rice1,1,0.9,0.61645,NA
1500,630,rice1,1,0.9,0.61937,NA
1500,640,rice1,1,0.9,0.62547,NA
1500,650,rice1,1,0.9,0.6283,NA
1500,660,rice1,1,0.9,0.62966,NA
1500,670,rice1,1,0.9,0.6134,NA
1500,680,rice1,1,0.9,0.62717,NA
1500,690,rice1,1,0.9,0.63309,NA
1500,700,rice1,1,0.9,0.63378,NA
1500,710,rice1,1,0.9,0.63647,NA
1500,720,rice1,1,0.9,0.63761,NA
1500,730,rice1,1,0.9,0.61994,NA
1500,740,rice1,1,0.9,0.632,NA
1500,750,rice1,1,0.9,0.63988,NA
1500,760,rice1,1,0.9,0.64175,NA
1500,770,rice1,1,0.9,0.64032,NA
1500,780,rice1,1,0.9,0.63741,NA
1500,790,rice1,1,0.9,0.61418,NA
1500,800,rice1,1,0.9,0.62864,NA
1500,810,rice1,1,0.9,0.63419,NA
1500,820,rice1,1,0.9,0.63324,NA
1500,830,rice1,1,0.9,0.63346,NA
1500,840,rice1,1,0.9,0.63073,NA
1500,850,rice1,1,0.9,0.61109,NA
1500,860,rice1,1,0.9,0.62626,NA
1500,870,rice1,1,0.9,0.63031,NA
1500,880,rice1,1,0.9,0.63074,NA
1500,890,rice1,1,0.9,0.62877,NA
1500,900,rice1,1,0.9,0.62871,NA
100,910,rice1,1,0.9,0.65409,NA
100,920,rice1,1,0.9,0.62,NA
100,930,rice1,1,0.9,0.61429,NA
100,940,rice1,1,0.9,0.61236,NA
100,950,rice1,1,0.9,0.61296,NA
100,960,rice1,1,0.9,0.6051,NA
100,970,rice1,1,0.9,0.60638,NA
100,980,rice1,1,0.9,0.58901,NA
100,990,rice1,1,0.9,0.57968,NA
100,1000,rice1,1,0.9,0.57755,NA
100,1010,rice1,1,0.9,0.57149,NA
100,1020,rice1,1,0.9,0.56826,NA
100,1030,rice1,1,0.9,0.57463,NA
100,1040,rice1,1,0.9,0.56053,NA
100,1050,rice1,1,0.9,0.5594,NA
100,1060,rice1,1,0.9,0.55558,NA
100,1070,rice1,1,0.9,0.55402,NA
100,1080,rice1,1,0.9,0.55268,NA
100,1090,rice1,1,0.9,0.56455,NA
100,1100,rice1,1,0.9,0.55244,NA
100,1110,rice1,1,0.9,0.54955,NA
100,1120,rice1,1,0.9,0.54367,NA
100,1130,rice1,1,0.9,0.54266,NA
100,1140,rice1,1,0.9,0.53999,NA
100,1150,rice1,1,0.9,0.5481,NA
100,1160,rice1,1,0.9,0.53125,NA
100,1170,rice1,1,0.9,0.52981,NA
100,1180,rice1,1,0.9,0.52875,NA
